lambda,kappa
7.088387944636854500e-06,1.794423714076187025e+04
7.118967920506756557e-06,1.825832780434459710e+04
7.146277146920312714e-06,1.883037634767733107e+04
7.177287616882128755e-06,1.938291092743394620e+04
7.201575704764202195e-06,1.987485642419724172e+04
7.224243404988195768e-06,2.045808600342016871e+04
7.247091017665509083e-06,2.093692994991744490e+04
7.273605395269538058e-06,2.159285159916669363e+04
7.298529565248489898e-06,2.222644473420587019e+04
7.320038679084380177e-06,2.274673143300334050e+04
7.338022329601948925e-06,2.332405194675094390e+04
7.359765194051248864e-06,2.386997697026597962e+04
7.379774252705609188e-06,2.452307915817592584e+04
7.403574001313393471e-06,2.524265315854751680e+04
7.421976472334583558e-06,2.588338069368933429e+04
7.444142873945351025e-06,2.679742104464855584e+04
7.466503399125672317e-06,2.747754956905539802e+04
7.481418027973022662e-06,2.822935790822172203e+04
7.500181879410576150e-06,2.905768423163809712e+04
