lambda,kappa
2.696134336510997132e-06,1.958880757090688718e+01
2.697087657776256559e-06,2.032123040657040391e+01
2.698769064442017273e-06,2.132691313204150774e+01
2.700214126980269743e-06,2.216715714282779714e+01
2.701906005553497907e-06,2.308505959302823030e+01
2.703600736568984601e-06,2.399457157638902771e+01
2.705547183390104758e-06,2.489178264096628368e+01
2.707992803238326267e-06,2.572296341221058924e+01
2.710439175169992142e-06,2.673640430789805933e+01
2.712644912882052625e-06,2.768260781307065344e+01
2.715345203193354581e-06,2.888464271772625125e+01
2.718053829968881161e-06,3.002264838676084935e+01
2.721276518159350450e-06,3.084586830112590050e+01
2.725509322740913835e-06,3.169158790259833580e+01
2.728510727003497673e-06,3.206114291386788295e+01
2.732288214875888286e-06,3.187579315610918229e+01
2.737093168735498412e-06,3.144763571247835543e+01
2.740397987999797091e-06,3.084586830112590050e+01
2.744220534343645578e-06,3.019715303998766842e+01
2.747546372400786799e-06,2.950509382391114599e+01
2.751391929176970890e-06,2.877325535656970246e+01
2.755766096085296415e-06,2.789735313974559361e+01
2.758610796706108614e-06,2.710048105413850905e+01
2.762231783840999308e-06,2.637721868801394010e+01
2.766125474217636170e-06,2.552495587531875643e+01
2.770032459240357731e-06,2.460492241831387261e+01
2.773954344040242551e-06,2.362653315486057792e+01
2.778148969348404766e-06,2.264331457031092754e+01
2.782347009867315342e-06,2.195406774494064805e+01
2.785779930628508094e-06,2.108108697281723920e+01
2.789211997404917024e-06,2.047891766812576364e+01
2.792655650757186697e-06,1.981718665724381978e+01
2.797447720597635518e-06,1.870117955429940437e+01
2.801175373186589385e-06,1.813188684042870236e+01
2.803845754837334744e-06,1.768214713261750148e+01
2.806789061381670066e-06,1.721028253333852120e+01
2.810010155376701684e-06,1.665417025031118925e+01
2.813229945257358796e-06,1.627248950071957623e+01
2.815926542613838788e-06,1.580763865975953664e+01
2.819431749169818598e-06,1.538579706858902796e+01
2.822676365759016288e-06,1.497517823232889356e+01
2.826467607974595559e-06,1.457555162461367182e+01
2.830536621624337409e-06,1.424150871607009528e+01
2.835160641619534542e-06,1.388823319309329385e+01
2.839252322650362613e-06,1.359618295597033288e+01
2.844439589934211024e-06,1.343949654559031615e+01
2.850194896327010575e-06,1.325894594342006272e+01
2.855972724318093487e-06,1.310611577355660984e+01
2.864534173749466225e-06,1.303037756786593704e+01
2.870918343617919911e-06,1.298012874234497716e+01
2.877046263191617005e-06,1.303037756786593704e+01
2.883479737211190812e-06,1.308082091722532603e+01
2.890783315555015860e-06,1.320781569352263851e+01
2.897557156488079463e-06,1.333601268763940872e+01
2.903788485723669051e-06,1.354375222466210538e+01
2.909195005377647115e-06,1.367524135633672877e+01
2.914904606831836979e-06,1.386142884698615596e+01
2.920925010215935533e-06,1.405018361949547057e+01
2.926967763840532971e-06,1.426904803636147889e+01
2.928674476074779632e-06,1.435568763623301614e+01
2.932171255221464047e-06,1.440754550707242565e+01
2.934218919726225636e-06,1.452205241701587468e+01
2.939786124679857294e-06,1.466202649627694399e+01
2.945666012139678670e-06,1.486055399376650143e+01
2.950980669896220008e-06,1.500382534440599969e+01
2.959586841676902167e-06,1.517721198146100825e+01
2.967942070519490737e-06,1.538232560379412384e+01
2.973339256225131692e-06,1.550065320732752916e+01
2.981173294411134801e-06,1.561949541634906602e+01
2.989049616729112916e-06,1.570890813602619396e+01
2.995441537068888717e-06,1.579908734177297447e+01
3.002169067151016603e-06,1.585904385252928606e+01
3.009234739568788810e-06,1.591922789435142782e+01
3.016958929534700629e-06,1.588718672811512889e+01
3.023474558822151114e-06,1.591680882329840685e+01
3.029396047486389098e-06,1.591581930927610600e+01
3.036592457407994940e-06,1.594538464349649942e+01
3.045716200164468617e-06,1.597467384763985976e+01
3.052037234854265262e-06,1.603540746607452405e+01
3.057753315751251655e-06,1.603448442038738619e+01
3.064124464735757631e-06,1.609544543078875733e+01
3.069883126479491820e-06,1.612560435165315198e+01
3.074695105546596186e-06,1.621851175792446043e+01
3.080495503862787206e-06,1.621754082989961887e+01
3.085990190871579501e-06,1.627938521907247349e+01
3.092804867827437508e-06,1.634123968310782260e+01
3.099324037427436934e-06,1.640336693685517133e+01
3.105870747946475953e-06,1.646576830407604675e+01
3.112775546782370552e-06,1.649646918046883926e+01
3.120375019151301608e-06,1.652707507879947357e+01
3.126345305464257437e-06,1.659006165380111142e+01
3.132340444059375129e-06,1.662114736427143669e+01
3.138356649754062684e-06,1.668445404210219962e+01
3.145405820258930273e-06,1.674784758851743049e+01
3.152828639034225566e-06,1.674665216751247954e+01
3.159945042235825550e-06,1.677783812712432265e+01
3.168798740085621195e-06,1.684131503964781373e+01
3.174271639565264444e-06,1.687298809146850687e+01
3.181834524877332643e-06,1.683922112753694122e+01
3.187701084169016218e-06,1.683829058349996544e+01
3.196371989936542667e-06,1.677200564873670885e+01
